000001,Xerox
000002,Xerox
000003,Xerox
000004,Xerox
000005,Xerox
000006,Xerox
000007,Xerox
000008,Xerox
000009,Xerox
00000A,OmronTat
00000B,Matrix
00000C,Cisco
00000D,Fibronic
00000E,Fujitsu
00000F,Next
000012,Informat
000015,Datapoin
000016,DuPontPi
000018,WebsterC
000019,AppliedD
00001B,Novell
00001C,BellTech
00001D,Cabletro
00001E,TelsistI
00001F,Telco
000022,VisualTe
000023,AbbIndus
000025,Ramtek
000027,JapanRad
000028,Prodigy
000029,ImcNetwo
00002B,CrispAut
00002C,Autotote
00002D,Chromati
00002E,SocieteE
00002F,Timeplex
000030,VgLabora
000031,QpsxComm
000032,Marconi
000033,EganMach
000034,NetworkR
000035,Spectrag
000036,Atari
000037,OxfordMe
000038,CssLabs
000039,Toshiba
00003A,Chyron
00003B,IControl
00003C,Auspex
00003F,Syntrex
000040,Applicon
000041,Ice
000042,MetierMa
000043,MicroTec
000044,Castelle
000045,FordAero
000047,NicoletI
000048,SeikoEps
000049,ApricotC
00004A,AdcCoden
00004C,Nec
00004D,Dci
00004E,Ampex
00004F,Logicraf
000050,Radisys
000051,HobElect
000052,Intrusio
000053,Compucor
000054,Modicon
000056,DrBStruc
000057,Scitex
000058,RacoreCo
000059,Hellige
00005A,Syskonne
00005B,EltecEle
00005C,Telemati
00005D,CsTeleco
00005E,UscInfor
00005F,Sumitomo
000060,KontronE
000061,GatewayC
000062,Hneywell
000064,Yokogawa
000065,NetworkG
000066,Talaris
000068,Rosemoun
00006A,Computer
00006D,CrayComm
00006E,Artisoft
00006F,Madge
000070,Hcl
000071,Adra
000072,Miniware
000073,Siecor
000074,Ricoh
000075,NortelNe
000076,AbekasVi
000077,Interpha
000078,Labtam
000079,Networth
00007B,Research
00007C,Ampere
00007E,Clustrix
00007F,Linotype
000080,CrayComm
000081,BayNetwo
000082,LectraSy
000083,TadpoleT
000085,Canon
000086,Megahert
000087,Hitachi
000088,BrocadeC
000089,Cayman
